ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
tomm1242-1pl-and-2pl-s-a-y-indexing-marker,tomm1242,indexing marker,1pl and 2pl S/A -y,overt,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,1pl;2pl,1pl;2pl,NONE,accusative
tomm1242-1sg-s-a-m-indexing-marker,tomm1242,indexing marker,1sg S/A -m,overt,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,1sg,1sg,NONE,accusative
tomm1242-2sg-s-a-w-indexing-marker,tomm1242,indexing marker,2sg S/A -w,overt,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,2sg,2sg,NONE,accusative
tomm1242-3pl-s-a-n-indexing-marker,tomm1242,indexing marker,3pl S/A -(N),overt,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,3pl,3pl,NONE,accusative
tomm1242-acc-marking-flagging,tomm1242,flagging,ACC marking,overt,,"mcpherson2013tommo[129,337-338]",HT;AWM,NONE,NONE,Noun-kinship/proper;Pro,accusative
tomm1242-no-flagging,tomm1242,flagging,NO_FLAGGING,zero,,"mcpherson2013tommo[129,337-338]",HT;AWM,any,any,Noun-non-kinship/proper,neutral
tomm1242-null-marker,tomm1242,indexing marker,NULL_MARKER,zero,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,3sg,3sg,NONE,accusative
tomm1242-role-not-marked,tomm1242,indexing trigger,ROLE_NOT_MARKED,zero,person+number,"mcpherson2013tommo[10,310-311,322]",HT;AWM,NONE,NONE,any,NA
tonk1249-1s-a-indexing-marker,tonk1249,indexing marker,-ʔ 1S/A,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,1du;1pl;1sg,1du;1pl;1sg,NONE,accusative
tonk1249-acc-marking-flagging,tonk1249,flagging,ACC marking,overt,,"wier2016tonkawa[11,37]",HT,NONE,NONE,any,accusative
tonk1249-ke-nsgp-indexing-marker,tonk1249,indexing marker,ke- nsgP,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,NONE,NONE,1du;1pl;1sg,accusative
tonk1249-lok-3pl-s-a-indexing-marker,tonk1249,indexing marker,-lok 3pl S/A,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,3pl,3pl,NONE,accusative
tonk1249-nes-a-dus-a-indexing-marker,tonk1249,indexing marker,-nesʔa duS/A,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,1du;2du;3du,1du;2du;3du,NONE,accusative
tonk1249-no-2s-a-indexing-marker,tonk1249,indexing marker,-no 2S/A,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,2du;2pl;2sg,2du;2pl;2sg,NONE,accusative
tonk1249-no-flagging,tonk1249,flagging,NO_FLAGGING,zero,,"wier2016tonkawa[11,37]",HT,any,any,NONE,accusative
